   : 1362.190801 'D12:lab32_1'
---:    0.108070 'B1:8070086:lab32_1'                      0.000
   :    0.108111 'D12:lab32_1'
---:    0.203943 'B2:3971177:lab32_1'                     -0.029
   :    0.203954 'D12:lab32_1'
---:    0.303336 'B3:3360883:lab32_1'                     -0.025
   :    0.303357 'D12:lab32_1'
---:    0.411556 'B4:11590737:lab32_1'                    -0.035
   :    0.411577 'D12:lab32_1'
---:    0.515191 'B5:15242314:lab32_1'                    -0.052
   :    0.515204 'D12:lab32_1'
---:    0.605536 'B6:5593324:lab32_1'                     -0.057
   :    0.605557 'D12:lab32_1'
---:    0.715172 'B7:15236301:lab32_1'                    -0.065
   :    0.715189 'D12:lab32_1'
---:    0.818488 'B8:18569402:lab32_1'                    -0.082
   :    0.818501 'D12:lab32_1'
---:    0.908229 'B9:8312747:lab32_1'                     -0.084
   :    0.908249 'D12:lab32_1'
---:    1.011519 'B10:11616754:lab32_1'                   -0.097
   :    1.011536 'D12:lab32_1'
---:    1.101992 'B11:2099284:lab32_1'                    -0.107
   :    1.102006 'D12:lab32_1'
---:    1.201336 'B12:1450779:lab32_1'                    -0.115
   :    1.201348 'D12:lab32_1'
---:    1.318158 'B13:18278888:lab32_1'                   -0.120
   :    1.318178 'D12:lab32_1'
---:    1.415554 'B14:15680397:lab32_1'                   -0.127
   :    1.415571 'D12:lab32_1'
---:    1.500778 'B15:921462:lab32_1'                     -0.143
   :    1.500792 'D12:lab32_1'
---:    1.610145 'B16:10287406:lab32_1'                   -0.142
   :    1.610169 'D12:lab32_1'
---:    1.706861 'B17:7011174:lab32_1'                    -0.151
   :    1.706880 'D12:lab32_1'
---:    1.818430 'B18:18601911:lab32_1'                   -0.172
   :    1.818442 'D12:lab32_1'
---:    1.919597 'B19:19774001:lab32_1'                   -0.177
   :    1.919610 'D12:lab32_1'
---:    2.008454 'B20:8643672:lab32_1'                    -0.190
   :    2.008466 'D12:lab32_1'
---:    2.112114 'B21:12310874:lab32_1'                   -0.197
   :    2.112127 'D12:lab32_1'
---:    2.209009 'B22:9210205:lab32_1'                    -0.201
   :    2.209022 'D12:lab32_1'
---:    2.301727 'B23:1942295:lab32_1'                    -0.216
   :    2.301739 'D12:lab32_1'
---:    2.404227 'B24:4434008:lab32_1'                    -0.207
   :    2.404247 'D12:lab32_1'
---:    2.518476 'B25:18701033:lab32_1'                   -0.225
   :    2.518499 'D12:lab32_1'
---:    2.615335 'B26:15580587:lab32_1'                   -0.245
   :    2.615350 'D12:lab32_1'
---:    2.716775 'B27:17031366:lab32_1'                   -0.257
   :    2.716785 'D12:lab32_1'
---:    2.809858 'B28:10122907:lab32_1'                   -0.265
   :    2.809870 'D12:lab32_1'
---:    2.914721 'B29:14982836:lab32_1'                   -0.262
   :    2.914743 'D12:lab32_1'
   :    2.914799 'D10:lab26_1'
---:    3.007870 'B30:8070086:lab26_1'                    -0.200
   :    3.007890 'D10:lab26_1'
   :    3.008086 'D12:lab32_1'
---:    3.103305 'B31:3589134:lab32_1'                    -0.285
   :    3.103320 'D12:lab32_1'
   :    3.103366 'D10:lab26_1'
---:    3.203142 'B32:3360883:lab26_1'                    -0.219
   :    3.203158 'D10:lab26_1'
   :    3.203402 'D12:lab32_1'
---:    3.309523 'B33:9828468:lab32_1'                    -0.306
   :    3.309538 'D12:lab32_1'
   :    3.309570 'D10:lab26_1'
---:    3.400972 'B34:1279553:lab32_1'                    -0.307
   :    3.400993 'D12:lab32_1'
   :    3.401030 'D10:lab26_1'
---:    3.505354 'B35:5593324:lab26_1'                    -0.239
   :    3.505370 'D10:lab26_1'
   :    3.505630 'D12:lab32_1'
---:    3.603720 'B36:4046141:lab32_1'                    -0.327
   :    3.603735 'D12:lab32_1'
   :    3.603772 'D10:lab26_1'
---:    3.715057 'B37:15396999:lab32_1'                   -0.340
   :    3.715075 'D12:lab32_1'
   :    3.715113 'D10:lab26_1'
---:    3.801897 'B38:2234992:lab32_1'                    -0.338
   :    3.801912 'D12:lab32_1'
   :    3.801950 'D10:lab26_1'
---:    3.911343 'B39:11616754:lab26_1'                   -0.274
   :    3.911360 'D10:lab26_1'
   :    3.911562 'D12:lab32_1'
---:    4.000079 'B40:444478:lab32_1'                     -0.366
   :    4.000095 'D12:lab32_1'
   :    4.000141 'D10:lab26_1'
---:    4.100403 'B41:765436:lab32_1'                     -0.363
   :    4.100426 'D12:lab32_1'
   :    4.100463 'D10:lab26_1'
---:    4.216874 'B42:17245031:lab32_1'                   -0.371
   :    4.216893 'D12:lab32_1'
   :    4.216929 'D10:lab26_1'
---:    4.299908 'B43:295486:lab32_1'                     -0.388
   :    4.299925 'D12:lab32_1'
   :    4.299962 'D10:lab26_1'
---:    4.400600 'B44:921462:lab26_1'                     -0.321
   :    4.400616 'D10:lab26_1'
   :    4.400820 'D12:lab32_1'
---:    4.504325 'B45:4729495:lab32_1'                    -0.405
   :    4.504341 'D12:lab32_1'
   :    4.504375 'D10:lab26_1'
---:    4.606117 'B46:6535658:lab32_1'                    -0.419
   :    4.606130 'D12:lab32_1'
   :    4.606159 'D10:lab26_1'
---:    4.708508 'B47:8932060:lab32_1'                    -0.425
   :    4.708525 'D12:lab32_1'
   :    4.708559 'D10:lab26_1'
---:    4.800353 'B48:776079:lab32_1'                     -0.423
   :    4.800375 'D12:lab32_1'
   :    4.800420 'D10:lab26_1'
---:    4.905156 'B49:5593180:lab32_1'                    -0.438
   :    4.905173 'D12:lab32_1'
   :    4.905211 'D10:lab26_1'
---:    5.010442 'B50:10898986:lab32_1'                   -0.457
   :    5.010457 'D12:lab32_1'
   :    5.010489 'D10:lab26_1'
---:    5.101849 'B51:2310892:lab32_1'                    -0.462
   :    5.101867 'D12:lab32_1'
   :    5.101909 'D10:lab26_1'
---:    5.201535 'B52:1942295:lab26_1'                    -0.408
   :    5.201556 'D10:lab26_1'
   :    5.201764 'D12:lab32_1'
---:    5.304036 'B53:4434008:lab26_1'                    -0.398
   :    5.304051 'D10:lab26_1'
   :    5.304227 'D12:lab32_1'
---:    5.413741 'B54:14195250:lab32_1'                   -0.455
   :    5.413763 'D12:lab32_1'
   :    5.413802 'D10:lab26_1'
---:    5.506674 'B55:7179580:lab32_1'                    -0.505
   :    5.506687 'D12:lab32_1'
   :    5.506718 'D10:lab26_1'
---:    5.601776 'B56:2263532:lab32_1'                    -0.488
   :    5.601798 'D12:lab32_1'
   :    5.601836 'D10:lab26_1'
---:    5.703900 'B57:4423643:lab32_1'                    -0.524
   :    5.703913 'D12:lab32_1'
   :    5.703946 'D10:lab26_1'
---:    5.803990 'B58:4498524:lab32_1'                    -0.509
   :    5.804015 'D12:lab32_1'
   :    5.804058 'D10:lab26_1'
---:    5.910577 'B59:11044369:lab26_1'                   -0.467
   :    5.910609 'D10:lab26_1'
   :    5.910788 'D12:lab32_1'
---:    6.003134 'B60:3589134:lab26_1'                    -0.455
   :    6.003153 'D10:lab26_1'
   :    6.003337 'D12:lab32_1'
---:    6.108983 'B61:9444738:lab26_1'                    -0.462
   :    6.109016 'D10:lab26_1'
   :    6.109215 'D12:lab32_1'
---:    6.209354 'B62:9828468:lab26_1'                    -0.475
   :    6.209375 'D10:lab26_1'
   :    6.209562 'D12:lab32_1'
---:    6.300801 'B63:1279553:lab26_1'                    -0.479
   :    6.300814 'D10:lab26_1'
   :    6.301004 'D12:lab32_1'
---:    6.400418 'B64:978385:lab32_1'                     -0.560
   :    6.400444 'D12:lab32_1'
   :    6.400486 'D10:lab26_1'
---:    6.503530 'B65:4046141:lab26_1'                    -0.516
   :    6.503543 'D10:lab26_1'
   :    6.503799 'D12:lab32_1'
---:    6.614881 'B66:15396999:lab26_1'                   -0.516
   :    6.614894 'D10:lab26_1'
   :    6.615087 'D12:lab32_1'
---:    6.699463 'B67:71102:lab32_1'                      -0.608
   :    6.699479 'D12:lab32_1'
   :    6.699527 'D10:lab26_1'
